"CodMun";"Municipio";"Extensión superficial (Km2). 2019";"Perímetro (m). 2019";"Altitud sobre el nivel del mar (m). 2019";"Número de núcleos que componen el municipio. 2023";"Distancia a la capital (Km). 2019";"Población total. 2023";"PobHombres23";"PobNucleos23";"PobDiseminados23";"EdadMedia22";"Porcentaje de población menor de 20 años. 2023";"Porcentaje de población mayor de 65 años. 2023";"Variación relativa de la población en diez años (%). 2012-2022";"Número de extranjeros. 2022";"Principal procedencia de los extranjeros residentes. 2022";"Emigraciones. 2022";"Inmigraciones. 2022";"Nacimientos. 2023";"Defunciones. 2023";"Matrimonios. 2023";"Alcaldía. 2023";"Hoteles. 2023";"Hostales y pensiones. 2023";"Plazas en hoteles. 2023";"Plazas en hostales y pensiones. 2023";"Tasa municipal de desempleo (%). 2023";"Renta bruta media. 2022";"Renta disponible media. 2022"
4063;"María";225.47;82693.87;1194;2;133;1212;626;1154;55;51;12.1;30.7;-10.4;95;"Marruecos";86;81;8;18;4;"PARTIDO POPULAR";"-";"*";"-";"*";"11.3";"16554";"14663"
4064;"Mojácar";71.49;48236.29;158;19;78.7;7355;3613;6921;465;50;14.3;29.4;-7.9;3814;"Reino Unido";604;863;28;79;19;"PARTIDO POPULAR";"22";"11";"5386";"267";"12.1";"25093";"20643"
4065;"Nacimiento";80.7;45588.64;595;1;49.4;508;268;441;67;47.2;13.2;24;0;133;"Rumanía";66;66;2;6;4;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"15.7";"-";"-"
4066;"Níjar";599.41;134987.71;353;36;33.8;33034;18906;26290;6568;36.6;25;10.1;8;15013;"Marruecos";2944;3846;405;168;81;"PARTIDO POPULAR";"20";"24";"931";"759";"10.7";"16430";"14502"
4067;"Ohanes";32.39;26505.77;952;1;46.9;551;284;530;20;54;6.7;34.7;-22.8;16;"Rusia";27;31;2;19;0;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"27.5";"-";"-"
4068;"Olula de Castro";33.58;28988.78;989;1;50.7;195;105;179;10;55.3;4.1;32.3;0.5;22;"Rumanía";12;21;0;3;1;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"11.8";"-";"-"
4069;"Olula del Río";23.5;25673.44;490;4;76.3;6353;3255;6085;269;42.6;19.9;17;-3.7;514;"Marruecos";293;384;47;67;16;"PARTIDO POPULAR";"*";"*";"*";"*";"20.3";"23827";"19686"
4070;"Oria";234.54;76626.26;1038;32;95;2254;1192;1853;380;52.6;11.4;34.8;-22.6;542;"Reino Unido";185;197;9;46;3;"PARTIDO POPULAR";"-";"-";"-";"-";"17.5";"16586";"14604"
4071;"Padules";26.47;29693.82;739;1;46.2;437;233;433;4;54.1;10.8;35.7;-18.5;36;"Marruecos";28;51;2;6;2;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"14";"-";"-"
4072;"Partaloa";52.57;30992.68;548;4;86.1;936;466;666;258;59.1;6.5;44.2;3.5;683;"Reino Unido";140;118;0;21;1;"ADEPART";"-";"-";"-";"-";"15.9";"-";"-"
4073;"Paterna del Río";45.44;32484.59;1197;2;69.2;386;218;372;15;52;9.3;27.2;-8.8;16;"Rusia";27;25;1;9;2;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"20.7";"-";"-"
4074;"Pechina";46.02;30737.19;106;2;10.6;4431;2291;3138;1220;39.1;24;13.5;12.8;414;"Marruecos";268;400;45;39;8;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"21.4";"20635";"17585"
4075;"Pulpí";94.55;48666.47;191;13;107;11508;5954;10380;867;39.3;21.4;12.7;18.6;3088;"Ecuador";703;1236;138;71;28;"PARTIDO POPULAR";"*";"*";"*";"*";"6.4";"25796";"21334"
4076;"Purchena";56.57;55805.63;532;2;81.2;1553;795;1348;203;44.5;21;21.6;-12;157;"Reino Unido";112;129;11;17;6;"PARTIDO POPULAR";"-";"-";"-";"-";"20.2";"22120";"18645"
4077;"Rágol";26.9;31661.83;402;1;35.2;302;152;286;11;53.4;8.9;36.4;-19.1;4;"se";22;30;1;3;1;"PARTIDO POPULAR";"-";"-";"-";"-";"15.8";"-";"-"
4078;"Rioja";36.38;26020.03;130;2;13.6;1621;830;1399;195;41.3;22.6;14.3;11.4;105;"Marruecos";83;166;11;19;4;"PARTIDO POPULAR";"-";"-";"-";"-";"27.7";"19001";"16336"
4079;"Roquetas de Mar";59.77;55955.05;7;8;18;105886;54891;105635;875;37.9;23.4;10.5;13.9;29484;"Rumanía";6473;9138;1000;499;345;"PARTIDO POPULAR";"20";"*";"11232";"*";"15.1";"23466";"19440"
4080;"Santa Cruz de Marchena";19.96;28392.88;329;1;30.3;242;130;178;59;53.5;7.4;31.4;-5.2;16;"Francia";15;37;0;1;1;"PARTIDO POPULAR";"-";"-";"-";"-";"18.399999999999999";"-";"-"
